"date","hits","keyword","geo","time","gprop","category"
2025-05-04,"<1","Harris","US","today+5-y","web",0
2025-05-11,"<1","Harris","US","today+5-y","web",0
2025-05-18,"<1","Harris","US","today+5-y","web",0
2025-05-25,"<1","Harris","US","today+5-y","web",0
2025-06-01,"<1","Harris","US","today+5-y","web",0
2025-06-08,"<1","Harris","US","today+5-y","web",0
2025-06-15,"<1","Harris","US","today+5-y","web",0
2025-06-22,"<1","Harris","US","today+5-y","web",0
2025-06-29,"<1","Harris","US","today+5-y","web",0
2025-07-06,"<1","Harris","US","today+5-y","web",0
2025-07-13,"<1","Harris","US","today+5-y","web",0
2025-07-20,"<1","Harris","US","today+5-y","web",0
2025-07-27,"<1","Harris","US","today+5-y","web",0
2025-08-03,"<1","Harris","US","today+5-y","web",0
2025-08-10,"<1","Harris","US","today+5-y","web",0
2025-08-17,"<1","Harris","US","today+5-y","web",0
2025-08-24,"<1","Harris","US","today+5-y","web",0
2025-08-31,"<1","Harris","US","today+5-y","web",0
2025-09-07,"<1","Harris","US","today+5-y","web",0
2025-09-14,"<1","Harris","US","today+5-y","web",0
2020-09-13,"<1","election","US","today+5-y","web",0
2020-09-20,"<1","election","US","today+5-y","web",0
2020-09-27,"<1","election","US","today+5-y","web",0
2020-10-04,"1","election","US","today+5-y","web",0
2020-10-11,"1","election","US","today+5-y","web",0
2020-10-18,"1","election","US","today+5-y","web",0
2020-10-25,"1","election","US","today+5-y","web",0
2020-11-01,"100","election","US","today+5-y","web",0
2020-11-08,"10","election","US","today+5-y","web",0
2020-11-15,"3","election","US","today+5-y","web",0
2020-11-22,"1","election","US","today+5-y","web",0
2020-11-29,"1","election","US","today+5-y","web",0
2020-12-06,"1","election","US","today+5-y","web",0
2020-12-13,"1","election","US","today+5-y","web",0
2020-12-20,"<1","election","US","today+5-y","web",0
2020-12-27,"<1","election","US","today+5-y","web",0
2021-01-03,"3","election","US","today+5-y","web",0
2021-01-10,"<1","election","US","today+5-y","web",0
2021-01-17,"<1","election","US","today+5-y","web",0
2021-01-24,"<1","election","US","today+5-y","web",0
2021-01-31,"<1","election","US","today+5-y","web",0
2021-02-07,"<1","election","US","today+5-y","web",0
2021-02-14,"<1","election","US","today+5-y","web",0
2021-02-21,"<1","election","US","today+5-y","web",0
2021-02-28,"<1","election","US","today+5-y","web",0
2021-03-07,"<1","election","US","today+5-y","web",0
2021-03-14,"<1","election","US","today+5-y","web",0
2021-03-21,"<1","election","US","today+5-y","web",0
2021-03-28,"<1","election","US","today+5-y","web",0
2021-04-04,"<1","election","US","today+5-y","web",0
2021-04-11,"<1","election","US","today+5-y","web",0
2021-04-18,"<1","election","US","today+5-y","web",0
2021-04-25,"<1","election","US","today+5-y","web",0
2021-05-02,"<1","election","US","today+5-y","web",0
2021-05-09,"<1","election","US","today+5-y","web",0
2021-05-16,"<1","election","US","today+5-y","web",0
2021-05-23,"<1","election","US","today+5-y","web",0
2021-05-30,"<1","election","US","today+5-y","web",0
2021-06-06,"<1","election","US","today+5-y","web",0
2021-06-13,"<1","election","US","today+5-y","web",0
2021-06-20,"<1","election","US","today+5-y","web",0
2021-06-27,"<1","election","US","today+5-y","web",0
